author,published_at,updated_at,like_count,text
@idontknow5102,2024-12-07T01:51:59Z,2024-12-07T01:52:57Z,0,"One plus 11,12,13 had same design 😯"
@RohitKumar-r4o5i,2024-12-07T01:15:07Z,2024-12-07T01:15:07Z,1,Watching On My OnePlus 6T
@tayget_tv,2024-12-07T01:02:59Z,2024-12-07T01:02:59Z,0,Bullsheet
@robika880416,2024-12-06T23:43:31Z,2024-12-06T23:43:31Z,0,"what you mean soon, its already out in some countries"
@VetriVetri-f3r,2024-12-06T21:51:52Z,2024-12-06T21:51:52Z,0,Please Fix camera issue for OnePlus 115g
@BhuvanX96,2024-12-06T20:50:59Z,2024-12-06T20:50:59Z,0,I really wish you would team up with Zeiss optics
@hasibulislam2001,2024-12-06T19:46:49Z,2024-12-06T19:46:49Z,0,Cheap design
@SumitSingh-yj4zh,2024-12-06T17:23:47Z,2024-12-06T17:23:47Z,0,Oneplus 13r update
@princesingh5352,2024-12-06T16:25:00Z,2024-12-06T16:25:00Z,0,First give me compensation for my oneplus 10 which has stopped working because of your software update.
@carljohnson1762,2024-12-06T16:13:07Z,2024-12-06T16:13:07Z,0,My one plus 7t suddenly beeps and restarts. has anyone faced this issue ?
@islamclips44,2024-12-06T16:05:30Z,2024-12-06T16:05:30Z,0,Love islam ❤️‍🩹😊
@tittutarzen5034,2024-12-06T15:50:30Z,2024-12-06T15:50:30Z,0,thanks god OnePlus finally remove curve display🫡🫡
@gordonng4554,2024-12-06T15:29:38Z,2024-12-06T15:29:38Z,0,Watching on OnePlus 12R
@seanvanvinckenroye8679,2024-12-06T15:07:10Z,2024-12-06T15:07:10Z,0,Oneplus... Oneplus never changes
@Cyber-In-The-Shadow,2024-12-06T14:12:43Z,2024-12-06T14:12:43Z,0,We need OnePlus in Egypt fr
@richmonkeymasti8808,2024-12-06T13:57:43Z,2024-12-06T13:57:43Z,1,Please do updates for OnePlus 12 improve cemra quality
@richmonkeymasti8808,2024-12-06T13:53:32Z,2024-12-06T13:53:32Z,0,Please don&#39;t buy OnePlus phones no any improvement in cemra segment I have already OnePlus 12 this phone cemra perform like a midrange phone .... portrait video only 1080-30 fps support i already complaint to OnePlus customer care and mail to OnePlus india but no improvement in cemra upgrade and also 3x portrait photo quality very bad if u switch in 3x quality or colour very bad ...
@ShivamKalirawana,2024-12-06T13:11:22Z,2024-12-06T13:11:22Z,1,🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩
@gopukrishnan4698,2024-12-06T13:00:17Z,2024-12-06T13:00:17Z,0,Watching on OnePlus 6 😌
@stockmarket_updates,2024-12-06T12:23:57Z,2024-12-06T12:23:57Z,1,Oneplus is love और मैं इसे खरीदूंगा बहुत दिन से इन्तजार था 😍🔥★
@comedyking3448,2024-12-06T11:36:51Z,2024-12-06T11:36:51Z,0,Bad samart phone no don&#39;t buy
@Robinhood-p8l,2024-12-06T11:26:46Z,2024-12-06T11:27:20Z,1,Please optimise the OnePlus nord 3 for gaming in android 15 its so many lagging in all phones please its a humble request to you OnePlus <br>....
@thaskarthaskaran1425,2024-12-06T10:23:28Z,2024-12-06T10:23:28Z,0,Is one plus 11r discontinued?
@gaborszucs777,2024-12-06T10:06:42Z,2024-12-06T10:06:42Z,0,I&#39;m waiting for the release date in Europe so I can place my order. 🥳
@acjdgpr,2024-12-06T09:54:40Z,2024-12-06T09:54:40Z,6,That motorised camera was a marvel in itself worked like a dream. Sadly they canned it after op7 pro. So truly tech has gone back
@nguyentanthanh296,2024-12-06T09:44:15Z,2024-12-06T09:44:15Z,0,So sad no curve screen. Skip
@moeheinkhant7828,2024-12-06T09:21:29Z,2024-12-06T09:21:29Z,0,Watching on  OnePlus 6🤨
@sathishsrinivas473,2024-12-06T07:38:24Z,2024-12-06T07:38:24Z,0,I don&#39;t know why the Phones are getting thicker and thicker?!
@aluop3428,2024-12-06T05:28:22Z,2024-12-06T05:28:22Z,0,When will it release?
@lol-pd6ih,2024-12-06T04:47:20Z,2024-12-06T04:47:20Z,1,What about green screen
@fabianvela6077,2024-12-06T04:19:06Z,2024-12-06T04:19:06Z,0,Should i upgrade from my OP7pro?
@johngee777,2024-12-06T02:07:00Z,2024-12-06T02:07:00Z,0,Watched on OnePlus 12. Can&#39;t wait to get 13!
@bombkuan,2024-12-06T01:55:36Z,2024-12-06T01:55:36Z,0,"I had skipped OnePlus 12 because of trypophobia, OnePlus 13 seems remain the same. Please make it all black for the backside circular plane."
@lipenathan,2024-12-06T01:50:12Z,2024-12-06T01:50:12Z,0,1+13=14
@youtubepremium1694,2024-12-06T00:47:29Z,2024-12-06T00:47:29Z,0,I miss the old days of one plus. Flagship killer days
@sinisazuglic6577,2024-12-05T23:50:51Z,2024-12-05T23:50:51Z,0,"Hi, does youtube support which Slovenian language for translation ( serbian, croatian...) l mean titles"
@KitQcz,2024-12-05T21:57:53Z,2024-12-05T21:57:53Z,1,ชอบมากครับ-
@mhermanneloi1571,2024-12-05T20:42:23Z,2024-12-05T20:42:23Z,1,"Perfection of one plus 7 pro . I still have my one plus 7 pro. Its the Best smartphone in the world, with design, personnality, whithout caméra on screen, the pleasure to use a border screen. After that, its just marketing. They have loose this philosophy of perfection"
@alamoarmando50,2024-12-05T19:13:19Z,2024-12-05T19:13:19Z,0,When when when the Hispanic market? I have had One Plus for years but there is NO technical support in Spanish
@scooterjean86,2024-12-05T18:43:14Z,2024-12-05T18:43:14Z,0,Went from the Op7 pro to the Op11 and miss the op7pro. Maybe the 13 will change my mind again
@BALAJIVENTURES-h7m,2024-12-05T18:36:48Z,2024-12-05T18:36:48Z,0,Legend OnePlus 8
@subhanqureshi4273,2024-12-05T18:21:57Z,2024-12-05T18:21:57Z,0,Eagerly waiting for it to launch in india. I am confused between x200 pro and oneplus 13
@christophtoifl6848,2024-12-05T18:16:29Z,2024-12-05T18:16:29Z,0,Still using my OP 7 Pro. Get rid of the punch hole or my next phone will be a Nubia ...
@konamikk-gv6yf,2024-12-05T17:38:35Z,2024-12-05T17:38:35Z,0,Thr punchole camera is looking very outdated
@seapanda-117,2024-12-05T17:02:54Z,2024-12-05T17:02:54Z,0,Looks good. Will be switching from iOS.
@josepheyes4597,2024-12-05T16:10:41Z,2024-12-05T16:10:41Z,0,Watching from my Oneplus 8 Pro
@janjarac74,2024-12-05T15:24:28Z,2024-12-05T15:24:28Z,0,Price 13 in Sweden?
